数据库：分省年度数据
指标：0-14岁人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,1737,1850,1942,1973,33994,1804,1732,1619,1510,,1497,1438,1401,1426,20932,1415,1486,1569
天津市,,,1243,1314,1443,1421,24253,1350,1359,1383,1233,,1054,1087,1123,1171,17488,1294,1390,1450
河北省,,,11125,11440,11152,11584,210653,11347,10772,10912,10890,,10274,10115,10639,10583,160282,11531,12778,14072
山西省,,,4459,4753,4767,4747,85703,4468,4710,4732,4961,,5241,5602,6068,6264,94573,6852,7476,7608
内蒙古自治区,,,2572,2759,2824,2705,51002,2803,2831,2878,2900,,3059,3251,3462,3598,53884,3976,4288,4597
辽宁省,,,3446,3628,3650,3900,72220,3719,3774,3802,4254,,4243,4729,4984,4915,79560,5715,6108,6530
吉林省,,,2464,2725,2790,2903,51351,2775,2669,2810,2989,,2963,3029,3286,3312,52084,3667,4067,4344
黑龙江省,,,2910,3267,3108,3204,62674,3665,3792,3878,3845,,4202,4408,4630,4972,74876,5413,5971,6426
上海市,,,1885,1955,1972,1953,34935,2024,1866,1681,1662,,1271,1332,1331,1338,21182,1469,1415,1716
江苏省,,,8638,9061,8889,9199,167898,9041,8733,8701,8765,,9357,9515,9911,10400,153721,11803,12418,13715
浙江省,,,5930,6441,5669,6063,111031,5467,5417,5638,5885,,6298,6435,6721,6826,103086,7131,7400,7520
安徽省,,,9242,9631,9867,9128,169869,8976,9186,9049,9187,,10522,11163,11738,12135,187067,13575,13669,15191
福建省,,,5208,5402,5956,5940,104768,5527,5249,5229,5009,,5481,5764,5767,5896,86487,6560,7326,7198
江西省,,,7339,7725,8245,8187,152541,7776,7353,8085,8234,,8622,8995,9047,9826,143226,8963,9696,10190
山东省,,,13841,14842,14588,14140,250337,12752,12432,13041,12785,,13132,13245,13206,13132,194922,15256,16475,16895
河南省,,,15814,16761,16476,16659,309790,16297,16133,16129,16632,,16089,16848,17613,18224,262380,20033,21465,22660
湖北省,,,7180,7445,7701,7645,138022,7669,7153,6792,7037,,7357,7591,8230,9011,142736,11276,12511,13678
湖南省,,,10764,11013,10427,10431,194440,10176,10088,10329,10087,,9784,9611,9796,10588,156693,12055,12686,13320
广东省,,,14278,15729,15472,15417,269349,14576,14653,14471,15466,,14734,15835,16386,17285,260401,19528,20593,19472
广西壮族自治区,,,8438,8821,8989,8686,169026,8591,8361,8824,8716,,9122,9453,9517,9629,146466,9935,10284,10490
海南省,,,1434,1469,1514,1520,28058,1420,1385,1412,1493,,1553,1650,1643,1709,25964,1892,1913,2032
重庆市,,,4073,4303,4154,3949,73101,3767,3824,4036,4001,,4649,4857,4892,5059,76551,6377,5768,6029
四川省,,,10707,11185,10860,11086,202831,10893,11073,10937,11141,,12472,12794,14392,15181,237516,16666,17170,18015
贵州省,,,6284,6558,6305,6663,123464,6398,6385,6678,7161,,8377,8888,9416,9459,139899,9640,9822,10189
云南省,,,6832,7157,7518,7839,141197,7374,7745,7603,7744,,8700,9063,9297,9387,142052,9601,10550,10391
西藏自治区,,,715,663,671,671,11932,644,599,567,598,,505,566,562,631,10010,653,711,660
陕西省,,,4388,4555,4948,4750,88688,4644,4685,4403,4803,,5305,5592,5968,6392,96302,7135,7589,8111
甘肃省,,,3530,3802,3811,3725,69226,3500,3603,3560,3697,,4420,4899,4967,5251,80364,5611,5889,6171
青海省,,,924,967,990,983,18381,881,948,986,998,,1034,1088,1131,1140,17307,1216,1288,1339
宁夏回族自治区,,,1120,1131,1034,1085,20862,1077,1093,1154,1143,,1176,1266,1305,1336,20438,1462,1487,1492
新疆维吾尔自治区,,,4746,4610,4624,4541,80217,4008,3893,3818,3764,,4024,3978,4047,4206,62580,4167,4656,4908
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
