数据库：分省年度数据
指标：公共交通车辆运营数(辆)
时间：最近20年
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,30966,27892,28311,28331,27590,25831,24478,24011,23730,23221,20525,20489,21313,21711
天津市,13528,13655,12245,11770,10296,9031,7954,7413,8118,8142,7717,7581,6884,6331
河北省,24706,21479,18927,15977,17498,16493,15503,14630,13531,14331,13407,12048,10429,9893
山西省,9252,8895,8153,8301,8957,7851,7226,6609,6655,6231,5982,5646,4565,4171
内蒙古自治区,8013,8000,6877,6836,6721,5586,5646,5771,5558,5343,4611,4124,3594,3314
辽宁省,23675,22950,22358,21872,21387,20968,20514,19770,18955,19580,18848,18000,17669,17080
吉林省,11823,11670,12057,11723,11253,10912,10521,10421,10187,9846,9185,8731,8283,8377
黑龙江省,17741,16939,16365,15706,15591,14364,14241,13567,13401,12746,12460,12061,10648,9976
上海市,22214,20718,20328,19832,20207,19825,19488,20297,18105,18004,18061,18113,18680,18797
江苏省,44137,41131,38598,36016,33380,30956,29655,27561,28296,25489,23994,22122,22281,19079
浙江省,35373,32551,29700,27048,25518,23060,21927,21589,22135,21836,18712,17173,15981,15115
安徽省,16477,14605,13916,13915,13023,11992,11035,9626,9712,10240,9521,8557,8880,8323
福建省,17572,16238,15065,13426,12414,11823,11203,10306,10106,9084,8812,8125,7929,6959
江西省,9908,8136,7665,7307,7733,7852,7297,6266,6358,6605,6176,5771,5818,5161
山东省,50907,47419,39782,34138,35031,32869,31230,27752,25272,30286,29265,25916,23455,18027
河南省,26216,22955,22063,20417,18920,18137,17601,16096,15735,15661,13546,12876,13213,12272
湖北省,21809,20915,19705,18249,17536,16982,16590,16544,16556,17914,17180,16042,17782,17337
湖南省,21051,19363,17365,15745,14010,13148,12600,12344,11736,11567,11135,9782,9611,9344
广东省,68535,63670,58747,56862,54659,53089,51736,41933,39212,38226,34973,23566,28979,16959
广西壮族自治区,10339,9093,8094,7774,7611,7430,7208,6839,6933,6274,5785,5477,5239,4748
海南省,3717,3080,2938,2879,2670,2614,2356,1964,1676,1549,1331,1351,1362,1163
重庆市,13944,12810,12491,11769,11382,8540,8118,7660,7130,8727,8471,7959,7267,6794
四川省,28502,23583,21998,22797,22127,19628,17699,15288,14583,14184,12280,11459,10578,9792
贵州省,7018,6565,6168,5834,5454,5031,4879,4584,4439,4690,4670,3274,5006,5038
云南省,11134,11166,10108,9334,8605,8187,7531,7135,6286,6717,6413,5931,5547,4946
西藏自治区,640,580,544,451,382,396,366,940,751,784,814,680,1040,1249
陕西省,13309,12696,11940,11647,11750,10948,10692,9953,9103,8666,8435,7840,6908,6302
甘肃省,5850,5233,5275,5488,5359,5214,4965,4382,4172,4048,3578,3362,3515,3089
青海省,2339,2248,2071,2113,2083,2067,2038,2175,1994,1899,1937,2000,1839,1559
宁夏回族自治区,3823,3357,3475,3296,3192,3042,2570,2382,2133,1889,1633,1698,1448,1172
新疆维吾尔自治区,8919,9250,9587,9402,8631,8155,7723,7353,8082,8043,8512,7822,7553,7438
注：公共交通运营数另有上海市磁悬浮列车14辆，运营线路总长度29公里。
数据来源：国家统计局
