数据库：分省年度数据
指标：一般火灾次数(次)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,5,2,1,1,1,,1,,1,3,3,3,,,3,1,7,,
天津市,,,,,2,,1,2,1,11,5,10,5,,,2,,,,
河北省,,10,36,21,24,30,66,78,43,73,94,34,53,1,6,29,25,22,,
山西省,,7,16,6,2,5,1,,15,10,18,10,13,16,40,48,50,15,,
内蒙古自治区,,46,92,30,91,16,41,80,34,26,21,31,32,54,41,44,106,53,,
辽宁省,,8,35,17,47,44,50,77,19,27,40,44,123,60,15,53,44,21,,
吉林省,,17,36,64,80,49,94,58,9,26,47,18,98,22,4,,5,20,,
黑龙江省,,48,9,28,85,27,87,27,13,40,40,11,36,8,18,8,10,17,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,2,7,16,11,15,8,29,32,30,51,53,49,6,,3,21,22,,
浙江省,,8,12,17,18,23,9,25,34,14,83,22,51,353,205,258,586,901,,
安徽省,,6,34,38,117,27,21,72,38,57,179,93,57,90,62,39,140,143,,
福建省,,29,6,14,10,8,5,10,13,6,18,7,38,470,202,134,266,1004,,
江西省,,26,35,24,9,16,9,29,20,12,37,24,91,475,226,97,295,778,,
山东省,,9,6,14,8,8,5,7,12,6,25,11,6,,11,20,40,3,,
河南省,,14,144,37,76,179,45,210,533,286,398,388,436,257,145,140,141,29,,
湖北省,,36,169,108,427,192,57,208,247,356,379,598,575,303,260,162,331,225,,
湖南省,,33,171,185,199,30,22,78,214,416,407,490,878,2094,892,647,1612,1720,,
广东省,,79,72,161,195,21,61,36,71,25,76,19,53,138,80,84,151,266,,
广西壮族自治区,,121,273,394,424,245,591,186,146,147,171,382,333,271,340,218,337,564,,
海南省,,12,12,17,8,20,65,49,21,14,27,85,28,29,48,19,86,28,,
重庆市,,9,4,10,11,11,8,6,21,29,115,80,78,22,13,56,24,15,,
四川省,,88,105,201,152,230,183,365,370,394,245,301,247,31,44,48,46,18,,
贵州省,,8,8,14,13,28,110,136,156,210,300,1699,1199,833,332,359,383,468,,
云南省,,19,50,24,20,27,71,164,73,83,64,226,320,98,163,181,211,146,,
西藏自治区,,1,2,,,,2,1,1,6,3,6,10,3,5,2,2,3,,
陕西省,,57,115,72,136,40,34,78,118,30,92,86,47,11,32,13,24,20,,
甘肃省,,4,10,6,4,7,5,18,13,7,4,13,29,1,,2,,2,,
青海省,,6,9,10,13,11,5,7,6,6,4,17,14,4,5,6,5,10,,
宁夏回族自治区,,8,43,14,24,19,5,24,45,9,1,7,8,4,3,11,6,1,,
新疆维吾尔自治区,,6,21,36,51,11,15,19,29,40,46,27,35,19,13,5,1,10,,
数据来源：国家统计局
