数据库：分省年度数据
指标：15岁及以上女性丧偶人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,408,426,456,501,8366,382,350,355,411,,408,402,383,421,5644,448,444,434
天津市,,,326,321,331,399,6162,373,359,347,338,,342,378,325,330,3891,332,339,347
河北省,,,1939,1990,1928,1817,34085,1648,1677,1796,1767,,1855,1797,1812,1845,24714,1852,1661,1780
山西省,,,938,982,860,842,16749,811,763,794,848,,893,857,779,788,11913,833,876,910
内蒙古自治区,,,596,599,632,618,12067,666,568,544,547,,590,566,599,596,7905,609,657,601
辽宁省,,,1393,1408,1340,1347,26110,1305,1191,1202,1295,,1307,1345,1352,1291,17660,1354,1387,1293
吉林省,,,853,856,805,788,15103,741,724,591,688,,721,799,774,782,9982,705,666,649
黑龙江省,,,1160,1092,1131,1140,20195,991,976,1045,1020,,1098,1128,1168,1091,14379,1043,1048,926
上海市,,,529,563,610,548,11636,527,593,455,457,,646,611,658,690,7624,718,723,637
江苏省,,,2261,2335,2271,2348,42502,2292,2406,2278,2325,,2732,2906,2836,2781,37428,2948,2999,2798
浙江省,,,1649,1626,1555,1634,28503,1332,1289,1244,1340,,1649,1670,1712,1493,22741,1489,1672,1709
安徽省,,,1828,1786,1806,1677,30519,1475,1500,1649,1650,,1870,1968,1953,2009,28412,2063,1895,2127
福建省,,,1053,1093,1049,1140,19872,877,964,1047,909,,1371,1392,1321,1211,16943,1227,1187,1129
江西省,,,1115,1198,1223,1263,22452,1176,1117,1108,1147,,1231,1341,1345,1378,18846,1401,1258,1415
山东省,,,3134,3211,2825,2691,51609,2758,2539,2730,2922,,2642,2598,2782,2847,40666,2840,2899,2831
河南省,,,2341,2504,2408,2239,42933,1912,2208,2129,2291,,2486,2377,2435,2564,36411,2729,2794,2821
湖北省,,,1644,1700,1668,1659,31360,1573,1526,1727,1734,,1696,1768,1862,1980,25575,1854,1871,2125
湖南省,,,2035,2079,2122,2133,37807,1993,1949,2038,2142,,2027,1974,2159,2140,29770,2196,2090,2166
广东省,,,2384,2433,2313,2324,41758,2497,2307,2314,2391,,2255,2387,2219,2180,32622,2494,2459,2436
广西壮族自治区,,,1396,1443,1412,1400,27017,1343,1425,1332,1397,,1485,1456,1504,1426,21400,1596,1696,1678
海南省,,,212,193,206,225,4262,213,210,186,190,,241,250,249,238,3091,228,228,218
重庆市,,,844,879,921,897,16977,897,971,948,913,,970,1060,969,980,13805,1246,1038,1075
四川省,,,2608,2773,2717,2847,48489,2889,2594,2434,2710,,2947,3151,3021,3018,43197,2742,2893,2929
贵州省,,,1009,1055,990,1002,18215,913,920,968,1024,,1025,1072,1156,1079,14978,1166,1161,1104
云南省,,,1318,1343,1271,1320,24222,1284,1156,1128,1198,,1424,1365,1291,1294,17564,1519,1320,1399
西藏自治区,,,77,96,85,79,1575,75,63,83,78,,99,102,100,116,1232,113,105,69
陕西省,,,1041,1091,1160,1112,19582,994,1039,1016,968,,1076,1169,1189,1155,15190,990,1054,1118
甘肃省,,,844,852,777,783,13385,629,694,678,692,,821,776,758,812,10202,707,694,732
青海省,,,164,163,167,163,2829,156,153,143,142,,169,160,163,156,2048,159,164,151
宁夏回族自治区,,,151,153,147,146,2479,125,134,116,108,,134,123,126,129,1676,121,123,108
新疆维吾尔自治区,,,602,581,608,561,10253,499,496,464,451,,551,544,525,507,6697,472,474,493
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
