数据库：分省年度数据
指标：人工煤气用气人口(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,,,,,,,,21.90,28.00,,
天津市,,,,,,,,,,,,,,,,,96.48,98.46,,
河北省,,28.26,47.38,50.60,58.50,67.32,159.39,172.66,180.94,187.62,185.15,179.59,191.55,200.86,399.01,415.93,400.89,378.47,,
山西省,,27.30,40.48,66.25,42.72,61.64,66.23,85.24,101.81,236.56,244.46,238.09,281.97,309.29,398.76,412.33,394.66,395.95,,
内蒙古自治区,,14.43,16.43,27.35,11.24,15.83,39.40,41.20,40.20,46.16,49.00,51.94,63.18,65.71,81.21,79.00,92.93,88.91,,
辽宁省,,288.87,360.87,399.27,401.29,506.26,530.87,591.30,573.58,556.66,573.62,542.44,523.72,503.31,486.63,474.09,531.48,474.71,,
吉林省,,41.25,40.50,40.00,40.00,42.80,41.00,117.19,178.96,188.49,167.94,164.57,166.60,161.93,150.90,159.37,169.15,154.20,,
黑龙江省,,33.85,35.76,30.80,35.20,57.77,57.27,94.19,89.49,80.90,80.70,74.41,85.14,238.44,338.14,301.25,289.35,274.59,,
上海市,,,,,,,,34.98,112.35,197.73,274.80,357.71,351.33,446.39,576.13,621.59,662.31,719.40,,
江苏省,,,,,,,,9.00,9.00,27.50,45.82,89.75,135.46,123.15,146.11,177.05,234.10,333.80,,
浙江省,,,4.15,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.55,30.42,39.07,33.45,28.89,83.31,110.82,,
安徽省,,,,,,,,,,,,,14.43,17.08,45.23,68.77,66.96,129.25,,
福建省,,6.80,7.07,9.03,12.03,21.12,21.38,21.37,19.91,19.41,16.06,14.71,13.93,13.65,18.44,12.70,11.20,9.26,,
江西省,,6.60,7.10,10.80,10.11,11.04,14.78,18.41,32.16,80.30,94.50,149.78,145.74,133.54,127.05,115.06,130.63,154.98,,
山东省,,,,,,,,18.47,27.99,88.33,139.83,159.26,156.46,209.94,282.00,337.08,356.45,396.82,,
河南省,,0.04,0.28,0.21,0.21,3.44,15.04,28.76,43.14,120.51,154.48,164.55,179.80,173.95,152.62,149.48,142.37,142.27,,
湖北省,,,,,,,,,,12.38,35.30,41.16,48.50,50.41,58.23,30.85,22.29,140.74,,
湖南省,,,,,,34.52,33.42,31.95,31.95,30.70,21.40,33.30,39.30,35.32,42.31,29.50,74.60,102.24,,
广东省,,,,2.84,,,,,,,,17.92,25.44,139.17,214.54,202.20,162.91,155.61,,
广西壮族自治区,,34.51,35.83,34.37,39.97,41.96,42.73,47.36,46.83,45.63,45.08,42.53,41.52,45.71,25.14,25.75,24.88,23.88,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,45.32,57.74,59.66,49.14,51.83,51.85,50.31,50.04,48.66,42.55,40.89,39.55,37.55,34.39,33.04,32.49,31.85,,
贵州省,,,,,,31.00,31.00,127.50,126.60,176.05,207.69,166.76,161.33,156.15,145.11,133.80,124.78,110.50,,
云南省,,,,20.42,25.72,114.81,193.06,239.09,247.68,265.22,267.35,232.80,234.80,227.05,219.70,223.20,177.28,127.10,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,0.20,,,,,,,,,,,,,27.40,29.80,,
甘肃省,,14.27,15.08,16.00,14.10,14.58,15.01,15.49,17.82,18.57,15.40,20.27,21.73,23.32,28.66,21.63,24.00,26.34,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,3.24,3.24,3.60,4.70,6.21,12.90,12.62,11.82,8.10,8.75,10.87,,
新疆维吾尔自治区,,6.70,6.70,6.69,7.19,5.00,5.00,5.00,5.00,7.00,6.20,8.75,6.20,6.00,6.18,5.95,5.00,5.00,,
数据来源：国家统计局
